"i","namei","wi","j","namej","wj","fij"
64,"Colmar",55183,29,"Reims",132176,9
64,"Colmar",55183,264,"Gray",6854,3
64,"Colmar",55183,565,"Baume-les-Dames",2221,4
64,"Colmar",55183,251,"Saverne",8453,9
64,"Colmar",55183,9,"Strasbourg (partie francaise)",332143,1833
64,"Colmar",55183,25,"Dijon",164440,4
64,"Colmar",55183,135,"Vesoul",25291,4
64,"Colmar",55183,301,"Reichshoffen - Niederbronn-les-Bains",6162,4
64,"Colmar",55183,770,"Biesheim",1022,234
64,"Colmar",55183,124,"Dole",26067,4
64,"Colmar",55183,145,"Saint-Die-des-Vosges",19642,138
64,"Colmar",55183,629,"Rouffach",2015,333
64,"Colmar",55183,175,"Epernay",15468,4
64,"Colmar",55183,198,"Guebwiller",12219,764
64,"Colmar",55183,284,"Le Thillot",5869,8
64,"Colmar",55183,221,"La Bresse",10171,12
64,"Colmar",55183,60,"Chalon-sur-Saone",55807,11
64,"Colmar",55183,52,"Montbeliard",62478,40
64,"Colmar",55183,59,"Thionville",55321,3
64,"Colmar",55183,733,"Sarre-Union",1104,4
64,"Colmar",55183,658,"Marckolsheim",1712,324
64,"Colmar",55183,83,"Nevers",39275,4
64,"Colmar",55183,24,"Metz",167292,46
64,"Colmar",55183,64,"Colmar",55183,39297
64,"Colmar",55183,612,"Ribeauville",2063,550
64,"Colmar",55183,73,"Belfort",45018,69
64,"Colmar",55183,107,"Chalons-en-Champagne",33720,19
64,"Colmar",55183,372,"Gerardmer",4009,12
64,"Colmar",55183,192,"Thann - Cernay",12752,331
64,"Colmar",55183,287,"Avallon",6542,3
64,"Colmar",55183,557,"Neuf-Brisach",2333,555
64,"Colmar",55183,737,"Fessenheim",1559,194
64,"Colmar",55183,20,"Nancy",179286,7
64,"Colmar",55183,138,"Lons-le-Saunier",24340,12
64,"Colmar",55183,171,"Sarrebourg",16660,13
64,"Colmar",55183,620,"Valdahon",2708,4
64,"Colmar",55183,41,"Besancon",104571,30
64,"Colmar",55183,257,"Selestat",8479,664
64,"Colmar",55183,353,"Paray-le-Monial",4294,4
64,"Colmar",55183,133,"Haguenau",25822,16
64,"Colmar",55183,95,"Epinal",38365,8
64,"Colmar",55183,222,"Luneville",9333,1
64,"Colmar",55183,568,"Bruyeres",1963,12
64,"Colmar",55183,344,"Digoin",4162,4
64,"Colmar",55183,419,"Raon-l'Etape",2724,8
64,"Colmar",55183,762,"Liepvre",1099,68
64,"Colmar",55183,156,"Sarreguemines (partie francaise)",18304,4
71,"Bourg-en-Bresse",52386,315,"Saint-Claude",4756,3
71,"Bourg-en-Bresse",52386,734,"Saint-Amour",1292,4
71,"Bourg-en-Bresse",52386,71,"Bourg-en-Bresse",52386,64
73,"Belfort",45018,284,"Le Thillot",5869,12
73,"Belfort",45018,172,"Le Creusot",13529,3
73,"Belfort",45018,196,"Pontarlier",13649,10
73,"Belfort",45018,166,"Verdun",16703,4
73,"Belfort",45018,115,"Longwy (partie francaise)",29599,4
73,"Belfort",45018,264,"Gray",6854,15
73,"Belfort",45018,346,"Lure",4462,315
73,"Belfort",45018,52,"Montbeliard",62478,4023
73,"Belfort",45018,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,4
73,"Belfort",45018,565,"Baume-les-Dames",2221,4
73,"Belfort",45018,524,"Nogent-sur-Seine",2294,4
73,"Belfort",45018,292,"Luxeuil-les-Bains",5942,48
73,"Belfort",45018,41,"Besancon",104571,341
73,"Belfort",45018,366,"Delle (partie francaise)",3957,585
73,"Belfort",45018,29,"Reims",132176,3
73,"Belfort",45018,154,"Montceau-les-Mines",15982,7
73,"Belfort",45018,25,"Dijon",164440,27
73,"Belfort",45018,145,"Saint-Die-des-Vosges",19642,7
73,"Belfort",45018,237,"Toul",8905,1
73,"Belfort",45018,135,"Vesoul",25291,117
73,"Belfort",45018,225,"Autun",9348,1
73,"Belfort",45018,20,"Nancy",179286,16
73,"Belfort",45018,664,"Maiche",2068,4
73,"Belfort",45018,24,"Metz",167292,9
73,"Belfort",45018,9,"Strasbourg (partie francaise)",332143,95
73,"Belfort",45018,95,"Epinal",38365,26
73,"Belfort",45018,179,"Beaune",15713,5
73,"Belfort",45018,675,"Saint-Loup-sur-Semouse",1144,4
73,"Belfort",45018,133,"Haguenau",25822,6
73,"Belfort",45018,73,"Belfort",45018,32515
73,"Belfort",45018,34,"Mulhouse",110707,757
73,"Belfort",45018,96,"Auxerre",38167,3
73,"Belfort",45018,396,"Morteau",4767,8
73,"Belfort",45018,156,"Sarreguemines (partie francaise)",18304,4
73,"Belfort",45018,60,"Chalon-sur-Saone",55807,7
73,"Belfort",45018,64,"Colmar",55183,33
73,"Belfort",45018,243,"Remiremont",8815,4
73,"Belfort",45018,620,"Valdahon",2708,4
73,"Belfort",45018,192,"Thann - Cernay",12752,132
73,"Belfort",45018,124,"Dole",26067,11
73,"Belfort",45018,59,"Thionville",55321,3
73,"Belfort",45018,198,"Guebwiller",12219,38
73,"Belfort",45018,88,"Macon",43707,4
73,"Belfort",45018,442,"Morez",3227,8
73,"Belfort",45018,221,"La Bresse",10171,12
73,"Belfort",45018,138,"Lons-le-Saunier",24340,7
73,"Belfort",45018,98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,82
73,"Belfort",45018,48,"Troyes",75562,10
80,"Charleville-Mezieres",41261,406,"Givet",3133,68
80,"Charleville-Mezieres",41261,83,"Nevers",39275,3
80,"Charleville-Mezieres",41261,129,"Sens",24625,3
80,"Charleville-Mezieres",41261,665,"Stenay",1529,28
80,"Charleville-Mezieres",41261,301,"Reichshoffen - Niederbronn-les-Bains",6162,4
80,"Charleville-Mezieres",41261,115,"Longwy (partie francaise)",29599,19
80,"Charleville-Mezieres",41261,446,"Revin",2349,442
80,"Charleville-Mezieres",41261,24,"Metz",167292,28
80,"Charleville-Mezieres",41261,512,"Bogny-sur-Meuse",2058,759
80,"Charleville-Mezieres",41261,636,"Carignan",1600,118
80,"Charleville-Mezieres",41261,34,"Mulhouse",110707,4
80,"Charleville-Mezieres",41261,306,"Rethel",5425,273
80,"Charleville-Mezieres",41261,280,"Creutzwald",6152,5
80,"Charleville-Mezieres",41261,29,"Reims",132176,547
80,"Charleville-Mezieres",41261,107,"Chalons-en-Champagne",33720,24
80,"Charleville-Mezieres",41261,531,"Fumay",1930,156
80,"Charleville-Mezieres",41261,174,"Saint-Avold (partie francaise)",13587,6
80,"Charleville-Mezieres",41261,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,4
80,"Charleville-Mezieres",41261,529,"Vouziers",2120,44
80,"Charleville-Mezieres",41261,166,"Verdun",16703,11
80,"Charleville-Mezieres",41261,25,"Dijon",164440,12
80,"Charleville-Mezieres",41261,48,"Troyes",75562,30
80,"Charleville-Mezieres",41261,185,"Sedan",11171,2010
80,"Charleville-Mezieres",41261,161,"Chaumont",18206,5
80,"Charleville-Mezieres",41261,175,"Epernay",15468,2
80,"Charleville-Mezieres",41261,20,"Nancy",179286,2
80,"Charleville-Mezieres",41261,80,"Charleville-Mezieres",41261,33220
80,"Charleville-Mezieres",41261,369,"Joigny",3214,3
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,174,"Saint-Avold (partie francaise)",13587,1750
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,19153
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,25,"Dijon",164440,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,230,"Pont-a-Mousson",9847,15
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,182,"Bar-le-Duc",13929,3
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,472,"Briey",3186,9
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,64,"Colmar",55183,1
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,59,"Thionville",55321,31
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,604,"Morhange",1593,38
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,138,"Lons-le-Saunier",24340,3
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,198,"Guebwiller",12219,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,733,"Sarre-Union",1104,8
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,596,"Ingwiller",2241,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,196,"Pontarlier",13649,3
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,506,"Dieuze",2549,16
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,284,"Le Thillot",5869,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,9,"Strasbourg (partie francaise)",332143,55
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,415,"Wissembourg (partie francaise)",3759,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,24,"Metz",167292,550
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,171,"Sarrebourg",16660,32
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,29,"Reims",132176,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,166,"Verdun",16703,11
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,251,"Saverne",8453,2
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,20,"Nancy",179286,53
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,48,"Troyes",75562,1
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,34,"Mulhouse",110707,10
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,156,"Sarreguemines (partie francaise)",18304,1430
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,222,"Luneville",9333,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,603,"Mourmelon-le-Grand",2698,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,559,"Saint-Mihiel",1791,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,550,"Bitche",2394,16
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,280,"Creutzwald",6152,532
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,625,"Bouzonville",1541,20
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,221,"La Bresse",10171,4
82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,124,"Dole",26067,3
83,"Nevers",39275,436,"Decize",2668,447
83,"Nevers",39275,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,96
83,"Nevers",39275,302,"Cosne-Cours-sur-Loire",4859,157
83,"Nevers",39275,130,"Moulins",25151,23
83,"Nevers",39275,369,"Joigny",3214,48
83,"Nevers",39275,400,"Montbard",3566,4
83,"Nevers",39275,500,"La Charite-sur-Loire",2120,408
83,"Nevers",39275,96,"Auxerre",38167,21
83,"Nevers",39275,287,"Avallon",6542,8
83,"Nevers",39275,414,"Clamecy",2977,28
83,"Nevers",39275,172,"Le Creusot",13529,5
83,"Nevers",39275,25,"Dijon",164440,257
83,"Nevers",39275,41,"Besancon",104571,4
83,"Nevers",39275,88,"Macon",43707,4
83,"Nevers",39275,107,"Chalons-en-Champagne",33720,10
83,"Nevers",39275,154,"Montceau-les-Mines",15982,1
83,"Nevers",39275,9,"Strasbourg (partie francaise)",332143,3
83,"Nevers",39275,83,"Nevers",39275,32531
83,"Nevers",39275,60,"Chalon-sur-Saone",55807,17
83,"Nevers",39275,225,"Autun",9348,16
83,"Nevers",39275,530,"Tournus",1996,4
83,"Nevers",39275,503,"Bourbon-Lancy",2461,8
83,"Nevers",39275,353,"Paray-le-Monial",4294,4
88,"Macon",43707,88,"Macon",43707,22539
88,"Macon",43707,9,"Strasbourg (partie francaise)",332143,6
88,"Macon",43707,257,"Selestat",8479,1
88,"Macon",43707,497,"Semur-en-Auxois",2899,7
88,"Macon",43707,225,"Autun",9348,28
88,"Macon",43707,41,"Besancon",104571,15
88,"Macon",43707,741,"Charolles",960,20
88,"Macon",43707,60,"Chalon-sur-Saone",55807,584
88,"Macon",43707,353,"Paray-le-Monial",4294,36
88,"Macon",43707,734,"Saint-Amour",1292,8
88,"Macon",43707,25,"Dijon",164440,86
88,"Macon",43707,138,"Lons-le-Saunier",24340,21
88,"Macon",43707,286,"Louhans",6337,40
88,"Macon",43707,172,"Le Creusot",13529,51
88,"Macon",43707,161,"Chaumont",18206,3
88,"Macon",43707,346,"Lure",4462,4
88,"Macon",43707,334,"Migennes",3974,4
88,"Macon",43707,389,"Gueugnon",3255,4
88,"Macon",43707,154,"Montceau-les-Mines",15982,119
88,"Macon",43707,1,"Paris",5599722,4
88,"Macon",43707,29,"Reims",132176,10
88,"Macon",43707,530,"Tournus",1996,200
88,"Macon",43707,344,"Digoin",4162,12
88,"Macon",43707,633,"Cluny",1734,323
88,"Macon",43707,503,"Bourbon-Lancy",2461,8
88,"Macon",43707,222,"Luneville",9333,1
88,"Macon",43707,442,"Morez",3227,4
88,"Macon",43707,711,"La Clayette",1330,8
88,"Macon",43707,179,"Beaune",15713,29
95,"Epinal",38365,714,"Contrexeville",1264,40
95,"Epinal",38365,292,"Luxeuil-les-Bains",5942,4
95,"Epinal",38365,243,"Remiremont",8815,1021
95,"Epinal",38365,221,"La Bresse",10171,553
95,"Epinal",38365,586,"Baccarat",1833,8
95,"Epinal",38365,138,"Lons-le-Saunier",24340,3
95,"Epinal",38365,166,"Verdun",16703,4
95,"Epinal",38365,80,"Charleville-Mezieres",41261,7
95,"Epinal",38365,59,"Thionville",55321,3
95,"Epinal",38365,124,"Dole",26067,7
95,"Epinal",38365,386,"Mirecourt",3530,350
95,"Epinal",38365,330,"Neufchateau",4745,73
95,"Epinal",38365,397,"Bar-sur-Aube",3709,4
95,"Epinal",38365,225,"Autun",9348,2
95,"Epinal",38365,96,"Auxerre",38167,4
95,"Epinal",38365,182,"Bar-le-Duc",13929,10
95,"Epinal",38365,52,"Montbeliard",62478,8
95,"Epinal",38365,73,"Belfort",45018,4
95,"Epinal",38365,41,"Besancon",104571,29
95,"Epinal",38365,135,"Vesoul",25291,12
95,"Epinal",38365,161,"Chaumont",18206,8
95,"Epinal",38365,144,"Saint-Dizier",20245,1
95,"Epinal",38365,675,"Saint-Loup-sur-Semouse",1144,8
95,"Epinal",38365,284,"Le Thillot",5869,186
95,"Epinal",38365,331,"Jarny",4834,4
95,"Epinal",38365,237,"Toul",8905,20
95,"Epinal",38365,171,"Sarrebourg",16660,14
95,"Epinal",38365,507,"Vittel",2581,127
95,"Epinal",38365,257,"Selestat",8479,1
95,"Epinal",38365,20,"Nancy",179286,1080
95,"Epinal",38365,64,"Colmar",55183,7
95,"Epinal",38365,372,"Gerardmer",4009,74
95,"Epinal",38365,29,"Reims",132176,17
95,"Epinal",38365,419,"Raon-l'Etape",2724,63
95,"Epinal",38365,523,"Rambervillers",1946,407
95,"Epinal",38365,48,"Troyes",75562,13
95,"Epinal",38365,572,"Ligny-en-Barrois",1908,4
95,"Epinal",38365,174,"Saint-Avold (partie francaise)",13587,6
95,"Epinal",38365,34,"Mulhouse",110707,6
95,"Epinal",38365,172,"Le Creusot",13529,4
95,"Epinal",38365,24,"Metz",167292,60
95,"Epinal",38365,568,"Bruyeres",1963,289
95,"Epinal",38365,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,7
95,"Epinal",38365,192,"Thann - Cernay",12752,4
95,"Epinal",38365,95,"Epinal",38365,30789
95,"Epinal",38365,145,"Saint-Die-des-Vosges",19642,289
95,"Epinal",38365,222,"Luneville",9333,17
95,"Epinal",38365,9,"Strasbourg (partie francaise)",332143,33
95,"Epinal",38365,25,"Dijon",164440,15
96,"Auxerre",38167,330,"Neufchateau",4745,4
96,"Auxerre",38167,9,"Strasbourg (partie francaise)",332143,10
96,"Auxerre",38167,154,"Montceau-les-Mines",15982,7
96,"Auxerre",38167,107,"Chalons-en-Champagne",33720,8
96,"Auxerre",38167,752,"Saint-Julien-du-Sault",1048,28
96,"Auxerre",38167,369,"Joigny",3214,287
96,"Auxerre",38167,96,"Auxerre",38167,31122
96,"Auxerre",38167,161,"Chaumont",18206,10
96,"Auxerre",38167,83,"Nevers",39275,18
96,"Auxerre",38167,60,"Chalon-sur-Saone",55807,4
96,"Auxerre",38167,172,"Le Creusot",13529,13
96,"Auxerre",38167,88,"Macon",43707,4
96,"Auxerre",38167,179,"Beaune",15713,3
96,"Auxerre",38167,548,"Saint-Florentin",1811,219
96,"Auxerre",38167,48,"Troyes",75562,88
96,"Auxerre",38167,24,"Metz",167292,4
96,"Auxerre",38167,334,"Migennes",3974,1139
96,"Auxerre",38167,741,"Charolles",960,4
96,"Auxerre",38167,400,"Montbard",3566,4
96,"Auxerre",38167,414,"Clamecy",2977,60
96,"Auxerre",38167,1,"Paris",5599722,40
96,"Auxerre",38167,302,"Cosne-Cours-sur-Loire",4859,9
96,"Auxerre",38167,760,"Toucy",1029,276
96,"Auxerre",38167,124,"Dole",26067,3
96,"Auxerre",38167,497,"Semur-en-Auxois",2899,4
96,"Auxerre",38167,287,"Avallon",6542,294
96,"Auxerre",38167,138,"Lons-le-Saunier",24340,4
96,"Auxerre",38167,41,"Besancon",104571,11
96,"Auxerre",38167,289,"Romilly-sur-Seine",5049,1
96,"Auxerre",38167,469,"Tonnerre",2576,139
96,"Auxerre",38167,182,"Bar-le-Duc",13929,1
96,"Auxerre",38167,25,"Dijon",164440,110
96,"Auxerre",38167,225,"Autun",9348,8
96,"Auxerre",38167,129,"Sens",24625,316
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,25,"Dijon",164440,12
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,145,"Saint-Die-des-Vosges",19642,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,124,"Dole",26067,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,284,"Le Thillot",5869,8
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,52,"Montbeliard",62478,36
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,557,"Neuf-Brisach",2333,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,198,"Guebwiller",12219,149
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,34,"Mulhouse",110707,4622
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,9,"Strasbourg (partie francaise)",332143,118
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,20,"Nancy",179286,11
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,243,"Remiremont",8815,12
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,629,"Rouffach",2015,8
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,346,"Lure",4462,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,257,"Selestat",8479,24
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,133,"Haguenau",25822,3
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,88,"Macon",43707,3
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,171,"Sarrebourg",16660,3
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,41,"Besancon",104571,15
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,292,"Luxeuil-les-Bains",5942,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,222,"Luneville",9333,3
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,18329
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,64,"Colmar",55183,371
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,287,"Avallon",6542,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,135,"Vesoul",25291,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,366,"Delle (partie francaise)",3957,8
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,73,"Belfort",45018,83
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,612,"Ribeauville",2063,4
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,192,"Thann - Cernay",12752,182
98,"Bale (SUI) - Saint-Louis (partie francaise)",43663,737,"Fessenheim",1559,35
107,"Chalons-en-Champagne",33720,280,"Creutzwald",6152,1
107,"Chalons-en-Champagne",33720,306,"Rethel",5425,20
107,"Chalons-en-Champagne",33720,95,"Epinal",38365,4
107,"Chalons-en-Champagne",33720,699,"Montmirail",1396,16
107,"Chalons-en-Champagne",33720,161,"Chaumont",18206,4
107,"Chalons-en-Champagne",33720,542,"Joinville",1769,4
107,"Chalons-en-Champagne",33720,298,"Langres",5946,4
107,"Chalons-en-Champagne",33720,230,"Pont-a-Mousson",9847,1
107,"Chalons-en-Champagne",33720,48,"Troyes",75562,133
107,"Chalons-en-Champagne",33720,512,"Bogny-sur-Meuse",2058,4
107,"Chalons-en-Champagne",33720,331,"Jarny",4834,4
107,"Chalons-en-Champagne",33720,603,"Mourmelon-le-Grand",2698,470
107,"Chalons-en-Champagne",33720,692,"Suippes",2064,276
107,"Chalons-en-Champagne",33720,185,"Sedan",11171,3
107,"Chalons-en-Champagne",33720,29,"Reims",132176,2092
107,"Chalons-en-Champagne",33720,144,"Saint-Dizier",20245,106
107,"Chalons-en-Champagne",33720,24,"Metz",167292,28
107,"Chalons-en-Champagne",33720,1,"Paris",5599722,12
107,"Chalons-en-Champagne",33720,504,"Sainte-Menehould",2358,200
107,"Chalons-en-Champagne",33720,52,"Montbeliard",62478,2
107,"Chalons-en-Champagne",33720,115,"Longwy (partie francaise)",29599,3
107,"Chalons-en-Champagne",33720,124,"Dole",26067,3
107,"Chalons-en-Champagne",33720,186,"Vitry-le-Francois",12476,1053
107,"Chalons-en-Champagne",33720,25,"Dijon",164440,22
107,"Chalons-en-Champagne",33720,9,"Strasbourg (partie francaise)",332143,6
107,"Chalons-en-Champagne",33720,761,"Vertus",1008,56
107,"Chalons-en-Champagne",33720,289,"Romilly-sur-Seine",5049,3
107,"Chalons-en-Champagne",33720,721,"Arcis-sur-Aube",1243,32
107,"Chalons-en-Champagne",33720,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,9
107,"Chalons-en-Champagne",33720,107,"Chalons-en-Champagne",33720,27690
107,"Chalons-en-Champagne",33720,166,"Verdun",16703,18
107,"Chalons-en-Champagne",33720,456,"Sezanne",3217,45
107,"Chalons-en-Champagne",33720,182,"Bar-le-Duc",13929,49
107,"Chalons-en-Champagne",33720,655,"Wassy",1568,4
107,"Chalons-en-Champagne",33720,80,"Charleville-Mezieres",41261,42
107,"Chalons-en-Champagne",33720,175,"Epernay",15468,376
107,"Chalons-en-Champagne",33720,59,"Thionville",55321,6
107,"Chalons-en-Champagne",33720,34,"Mulhouse",110707,3
107,"Chalons-en-Champagne",33720,529,"Vouziers",2120,8
107,"Chalons-en-Champagne",33720,572,"Ligny-en-Barrois",1908,4
107,"Chalons-en-Champagne",33720,145,"Saint-Die-des-Vosges",19642,7
107,"Chalons-en-Champagne",33720,636,"Carignan",1600,4
107,"Chalons-en-Champagne",33720,20,"Nancy",179286,18
115,"Longwy (partie francaise)",29599,222,"Luneville",9333,9
115,"Longwy (partie francaise)",29599,427,"Commercy",2868,4
115,"Longwy (partie francaise)",29599,301,"Reichshoffen - Niederbronn-les-Bains",6162,4
115,"Longwy (partie francaise)",29599,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,6
115,"Longwy (partie francaise)",29599,636,"Carignan",1600,4
115,"Longwy (partie francaise)",29599,182,"Bar-le-Duc",13929,8
115,"Longwy (partie francaise)",29599,331,"Jarny",4834,45
115,"Longwy (partie francaise)",29599,59,"Thionville",55321,377
115,"Longwy (partie francaise)",29599,20,"Nancy",179286,137
115,"Longwy (partie francaise)",29599,472,"Briey",3186,68
115,"Longwy (partie francaise)",29599,174,"Saint-Avold (partie francaise)",13587,7
115,"Longwy (partie francaise)",29599,96,"Auxerre",38167,6
115,"Longwy (partie francaise)",29599,138,"Lons-le-Saunier",24340,4
115,"Longwy (partie francaise)",29599,625,"Bouzonville",1541,8
115,"Longwy (partie francaise)",29599,156,"Sarreguemines (partie francaise)",18304,3
115,"Longwy (partie francaise)",29599,166,"Verdun",16703,50
115,"Longwy (partie francaise)",29599,145,"Saint-Die-des-Vosges",19642,3
115,"Longwy (partie francaise)",29599,665,"Stenay",1529,16
115,"Longwy (partie francaise)",29599,559,"Saint-Mihiel",1791,4
115,"Longwy (partie francaise)",29599,185,"Sedan",11171,12
115,"Longwy (partie francaise)",29599,24,"Metz",167292,323
115,"Longwy (partie francaise)",29599,687,"Etain",1517,29
115,"Longwy (partie francaise)",29599,280,"Creutzwald",6152,3
115,"Longwy (partie francaise)",29599,230,"Pont-a-Mousson",9847,19
115,"Longwy (partie francaise)",29599,115,"Longwy (partie francaise)",29599,12549
115,"Longwy (partie francaise)",29599,95,"Epinal",38365,4
124,"Dole",26067,59,"Thionville",55321,3
124,"Dole",26067,135,"Vesoul",25291,4
124,"Dole",26067,166,"Verdun",16703,4
124,"Dole",26067,88,"Macon",43707,4
124,"Dole",26067,115,"Longwy (partie francaise)",29599,8
124,"Dole",26067,82,"Sarrebruck (ALL) - Forbach (partie francaise)",36342,4
124,"Dole",26067,52,"Montbeliard",62478,8
124,"Dole",26067,34,"Mulhouse",110707,1
124,"Dole",26067,138,"Lons-le-Saunier",24340,231
124,"Dole",26067,9,"Strasbourg (partie francaise)",332143,14
124,"Dole",26067,73,"Belfort",45018,9
124,"Dole",26067,25,"Dijon",164440,805
124,"Dole",26067,41,"Besancon",104571,1037
124,"Dole",26067,64,"Colmar",55183,3
124,"Dole",26067,565,"Baume-les-Dames",2221,4
124,"Dole",26067,60,"Chalon-sur-Saone",55807,65
124,"Dole",26067,728,"Salins-les-Bains",1124,28
124,"Dole",26067,124,"Dole",26067,20487
124,"Dole",26067,547,"Poligny",2172,43
124,"Dole",26067,225,"Autun",9348,5
124,"Dole",26067,154,"Montceau-les-Mines",15982,6
124,"Dole",26067,264,"Gray",6854,35
124,"Dole",26067,734,"Saint-Amour",1292,4
124,"Dole",26067,172,"Le Creusot",13529,16
124,"Dole",26067,303,"Champagnole",5449,12
124,"Dole",26067,196,"Pontarlier",13649,3
124,"Dole",26067,161,"Chaumont",18206,4
124,"Dole",26067,222,"Luneville",9333,3
124,"Dole",26067,647,"Arbois",1872,52
124,"Dole",26067,171,"Sarrebourg",16660,4
124,"Dole",26067,346,"Lure",4462,8
124,"Dole",26067,192,"Thann - Cernay",12752,7
124,"Dole",26067,179,"Beaune",15713,13
124,"Dole",26067,20,"Nancy",179286,9
129,"Sens",24625,25,"Dijon",164440,40
129,"Sens",24625,289,"Romilly-sur-Seine",5049,7
129,"Sens",24625,161,"Chaumont",18206,5
129,"Sens",24625,60,"Chalon-sur-Saone",55807,4
129,"Sens",24625,29,"Reims",132176,5
129,"Sens",24625,20,"Nancy",179286,8
129,"Sens",24625,369,"Joigny",3214,165
129,"Sens",24625,52,"Montbeliard",62478,7
129,"Sens",24625,760,"Toucy",1029,4
129,"Sens",24625,548,"Saint-Florentin",1811,20
129,"Sens",24625,48,"Troyes",75562,106
129,"Sens",24625,302,"Cosne-Cours-sur-Loire",4859,3
129,"Sens",24625,334,"Migennes",3974,28
129,"Sens",24625,124,"Dole",26067,5
129,"Sens",24625,752,"Saint-Julien-du-Sault",1048,198
129,"Sens",24625,287,"Avallon",6542,4
129,"Sens",24625,1,"Paris",5599722,660
129,"Sens",24625,524,"Nogent-sur-Seine",2294,16
129,"Sens",24625,96,"Auxerre",38167,304
129,"Sens",24625,179,"Beaune",15713,2
129,"Sens",24625,9,"Strasbourg (partie francaise)",332143,4
129,"Sens",24625,156,"Sarreguemines (partie francaise)",18304,4
129,"Sens",24625,469,"Tonnerre",2576,4
